calendar,name,start,end,location,description,fetched_at
User Group Events,Python meetup Valparaiso y Viña del Mar,2016-03-30 23:00,2016-03-31 01:00,"UTFSM, Sala B-213, Avenida España 1680, Valparaiso, Chile","<a href=""http://www.meetup.com/es-ES/Python-Valparaiso-y-Vina-del-Mar/events/229596644/"">Python meetup Valparaiso y Viña del Mar</a>...",2025-06-02 01:40:23 UTC
User Group Events,PyStok #1 - Bialystok Python User Group,2014-10-07 17:00,2014-10-07 19:00,"EXP BAR, Piękna 2, Białystok, Poland","<a href=""http://pystok.org/spotkanie-1/#rejestracja"">PyStok #1 - Bialystok Python User Group</a>...",2025-06-02 01:40:23 UTC
User Group Events,PyRana General Body Meeting - March 2020,2020-03-03 17:00,2020-03-03 19:30,"Tirana, Albania","<a href=""https://www.pyrana.org/events/"" target=""_blank"">General Body Meeting</a>...",2025-06-02 01:40:23 UTC
User Group Events,Pravega Hackathon 2020,2020-02-01 00:00,2020-02-03 00:00,"Bengaluru, India","<a href=""https://www.pravega.org/events/tech_eve/hackathon.html"">Pravega Hackathon</a>...",2025-06-02 01:40:23 UTC
User Group Events,Hackathon for Bridge (card game),2020-05-23 00:00,2020-05-24 00:00,Online Event,"<a href=""https://groups.io/g/bridge-dev/topic/74196315"">Hackathon for Bridge (card game)</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2022-03-30 16:00,2022-03-30 18:00,"Düsseldorf, Germany","<a href=""https://www.pyddf.de/"">Python Meeting Düsseldorf</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2021-10-27 16:00,2021-10-27 18:00,"Online, Düsseldorf, Germany","<a href=""https://www.pyddf.de/>Python Meeting Düsseldorf</a>...",2025-06-02 01:40:23 UTC
User Group Events,"Fox Valley Python User Group (WI, USA)",2014-07-08 00:00,2014-07-08 01:30,"Halsey Science Building, 921 Elmwood Ave, Oshkosh, WI, USA","<a href=""http://foxpython.tumblr.com/meetings"">Fox Valley Python User Group</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Ciudad de México,2016-02-26 00:00,2016-02-28 00:00,"Nearsoft Inc. DF, San Luis Potosi 196 Inte. 401, Cuauhtémoc, Roma Nte., 06700 Ciudad de México, D.F., Mexico","<a href=""https://djangogirls.org/mexicocity/ <https://djangogirls.org/mexicocity/>“>Django Girls Ciudad de México</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Kigali,2018-09-15 00:00,2018-09-16 00:00,"Kigali, Rwanda","<a href=""https://djangogirls.org/kigali/"">Django Girls Kigali</a>...",2025-06-02 01:40:23 UTC
User Group Events,Cape Town Python User Group (CTPUG) Meeting,2015-01-24 12:00,2015-01-24 14:00,"Praekelt Offices, Cape Town, South Africa","<a href=""https://www.ctpug.org.za/wiki/Meeting20150124"">Cape Town Python User Group (CTPUG) Meeting</a>...",2025-06-02 01:40:23 UTC
User Group Events,MashhadPUG meeting,2014-04-14 13:30,2014-04-14 15:30,"No 110, Rahnamaie 2St., Rahnamaie Blv., Mahshhad, Iran",N/A,2025-06-02 01:40:23 UTC
User Group Events,An Introduction to Fairness in Machine Learning using Fairlearn - PyLadies Amsterdam,2021-11-24 17:30,2021-11-24 19:00,Online,"<pre><a href=""https://www.meetup.com/PyLadiesAMS/events/277246194/"" id=""ow759"" __is_owner=""true"">An Introduction to Fairness in Machine Learning using Fairlearn</a></pre>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Taipei,2017-06-24 00:00,2017-06-25 00:00,"Taipei, Taiwan","<a href=""https://djangogirls.org/taipei/"">Django Girls Taipei</a>...",2025-06-02 01:40:23 UTC
User Group Events,PyCamp Baradero 2018 (PyAr Comunity),2018-04-28 00:00,2018-05-02 00:00,"Baradero, Buenos Aires, Argentina","<a href=""http://www.python.org.ar/wiki/PyCamp/2018"">PyCamp Baradero 2018</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2025-04-09 16:00,2025-04-09 19:00,"Düsseldorf, Germany","<a href=""https://www.pyddf.de/"">Python Meeting Düsseldorf</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Mauritius User Group (PyMUG) - December Meetup,2020-12-12 06:00,2020-12-12 09:00,"La Turbine, Vivea Business Park, Moka, Mauritius",RSVP link: https://www.meetup.com/MauritiusSoftwareCraftsmanshipCommunity/events/274605998/...,2025-06-02 01:40:23 UTC
User Group Events,IndyPy Panel: AI Powered by Python,2024-06-11 23:00,2024-06-12 01:00,"E-gineering Inc., 8415 Allison Pointe Blvd, Indianapolis, IN 46250, USA","<a href=""https://www.meetup.com/indypy/events/299661600/"">IndyPy Panel: AI Powered by Python</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Toronto Meetup,2018-05-29 22:30,2018-05-30 01:00,"Toronto, ON, Canada","<a href=""https://www.meetup.com/Python-Toronto/events/250373456/"">Python Toronto Meetup</a>...",2025-06-02 01:40:23 UTC
User Group Events,Helsinki Python meetup,2025-02-26 15:30,2025-02-26 17:30,"Helsinki, Finland","<a href=""https://www.meetup.com/helpy-meetups/events/306131829/"">Helsinki Python meetup</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Ireland March Meetup,2015-03-11 18:30,2015-03-11 20:00,"Science Gallery Dublin, Pearse Street, Dublin 2, Ireland","<a href=""http://www.meetup.com/pythonireland/events/201380272/"">Python
Ireland March meetup</a>...",2025-06-02 01:40:23 UTC
User Group Events,DFW Pythoneers 2nd Saturday Teaching Meeting,2014-02-08 14:00,2014-02-08 17:00,"Improving Enterprises, 16633 Dallas Parkway, Suite 100 Addison, TX, USA","<a href=""http://www.meetup.com/dfwpython/"">DFW Pythoneers 2nd Saturday Teaching Meeting</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Minna: Building for the Web with Python,2018-07-28 09:00,2018-07-28 13:00,"Minna, Nigeria","<a href=""http://bit.ly/buildforwebwithpython"">Build for the Web with Python</a>...",2025-06-02 01:40:23 UTC
User Group Events,PyCamp Leipzig 2025,2025-06-28 00:00,2025-06-30 00:00,"Leipzig, Germany","<a href=""https://barcamps.eu/python-barcamp-leipzig-2025/"">PyCamp Leipzig 2025</a>...",2025-06-02 01:40:23 UTC
User Group Events,101 Django Rest Framework - PyLadies Amsterdam,2023-01-25 17:30,2023-01-25 19:00,N/A,"<pre><a href=""https://www.meetup.com/pyladiesams/events/290017921/"">101 Django Rest Framework</a></pre>...",2025-06-02 01:40:23 UTC
User Group Events,PyATL and oso workshop on access control patterns in Python applications,2020-10-22 23:00,2020-10-23 01:00,Online,"<a href=""https://www.meetup.com/python-atlanta/events/273826930/"">
PyATL and oso partner to offer a workshop on access control patterns in Python applications
</a>...",2025-06-02 01:40:23 UTC
User Group Events,NZPUG-Auckland: Data Ethics,2024-04-17 06:30,2024-04-17 08:30,Online,"<a href=""https://www.meetup.com/nzpug-auckland/events/299764076/"">NZPUG-Auckland: Data Ethics</a>...",2025-06-02 01:40:23 UTC
User Group Events,"Fox Valley Python User Group (WI, USA)",2014-10-07 00:00,2014-10-07 01:30,"Halsey Science Building, 921 Elmwood Ave, Oshkosh, WI, USA","<a href=""http://foxpython.tumblr.com/meetings"">Fox Valley Python User Group</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meetup Guatemala City,2017-07-29 21:00,2017-07-29 23:00,"Ruta 04 6-49 Zona 04, Guatemala City, Guatemala","<a href=""https://www.facebook.com/events/678394902351754"">Python Meetup Guatemala</a>...",2025-06-02 01:40:23 UTC
User Group Events,FOSDEMx 0 - Python,2018-05-03 14:00,2018-05-03 19:00,"Ixelles, Belgium","<a href=""https://x.fosdem.org/0/"">FOSDEMx 0 - Python</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meetup Ljubljana May 2017,2017-05-18 19:00,2017-05-18 21:00,"Ljubljana, Slovenia","<a href=""http://https://www.meetup.com/Ljubljana-Python-Group/events/239720248/“>Python Meetup Ljubljana May 2017</a>...",2025-06-02 01:40:23 UTC
User Group Events,After-Pycon Finland Python Sprint,2014-10-28 00:00,2014-10-29 00:00,"Hernesaarenranta 3c, 00150 Helsinki, Finland","<a href=""http://www.meetup.com/Helsinki-PyLadies/events/208242162/"">After-PyCon Finland Python sprint</a>...",2025-06-02 01:40:23 UTC
User Group Events,PyLadies Amsterdam: Global AI Bootcamp,2025-03-04 17:00,2025-03-04 20:00,Online,"<a href=""https://www.meetup.com/pyladiesams/events/306221786/"">PyLadies Amsterdam: Global AI Bootcamp</a>...",2025-06-02 01:40:23 UTC
User Group Events,Tijuana Python Users Group Meetup,2015-05-15 02:00,2015-05-15 03:30,"HUB STN, Avenida Revolución 1025, Zona Centro, Tijuana, B.C., México","<a href=""https://pythonbc.com/"">Tijuana Python Users Group Meetup</a>...",2025-06-02 01:40:23 UTC
User Group Events,Third Workshop on Scientific Programming,2018-02-26 00:00,2018-03-10 00:00,"Universidad Nacional de Quilmes, Bernal, Buenos Aires, Argentina","&lt;a href=""<a href=""https://wtpc.github.io/"">https://wtpc.github.io/</a>""&gt;Third Workshop on Scientific Programming&lt;/a&gt;&nbsp;&nbsp;<br>...",2025-06-02 01:40:23 UTC
User Group Events,Python Toulouse : Jupyter: Présentation d’un écosystème 🔭,2019-06-03 17:00,2019-06-03 19:00,"Toulouse, France","<a href=""https://www.meetup.com/fr-FR/Python-Toulouse/events/261317429"" id=""ow1078"" __is_owner=""true"">Python Toulouse : Jupyter: Présentation d’un écosystème 🔭</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Pizza,2017-09-16 16:00,2017-09-16 19:00,"Riot Studio - Via San Biagio Dei Librai, 39, 80138 Napoli, Italy","<a href=""https://python.pizza/"">Python Pizza / Napoli, Italia</a>...",2025-06-02 01:40:23 UTC
User Group Events,SheDevelopers: Python Mastery Workshop 1st Edition,2024-08-16 00:00,2024-08-17 00:00,"Harare, Zimbabwe","<a href=""https://shedevspythonworkshop.co.zw/index.html"">SheDevelopers: Python Mastery Workshop 1st Edition</a>...",2025-06-02 01:40:23 UTC
User Group Events,DjangoGirls Cardiff,2017-10-26 00:00,2017-10-27 00:00,"Cardiff City Hall, Gorsedd Gardens Rd, Cardiff CF10 3ND, UK","<a href=""https://djangogirls.org/pyconuk2017/"">DjangoGirls Cardiff</a>...",2025-06-02 01:40:23 UTC
User Group Events,Boston Python: September Presentation Night,2013-09-23 23:00,2013-09-24 01:00,"Microsoft New England Research & Development Center One Memorial Drive Suite 100 Cambridge, MA", http://www.meetup.com/bostonpython/events/120746442/...,2025-06-02 01:40:23 UTC
User Group Events,Python Düsseldorf Meeting Spring Sprint 2019,2019-05-04 00:00,2019-05-06 00:00,"trivago N.V. Kesselstrasse 5-7, 40221 Düsseldorf","<a href=""https://www.pyddf.de/sprint2019/"">PyDDF Spring Sprint 2019</<>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Aba,2023-10-13 00:00,2023-10-14 00:00,"Aba, Abia State Nigeria","<a href=""https://djangogirls.org/en/aba/"">Django Girls Aba</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Jos,2017-10-20 00:00,2017-10-21 00:00,"Former Tax Academy, Jos, Nigeria","<a href=""https//djangogirls.org/jos/"">Django Girls Jos</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Groningen,2023-11-18 08:00,2023-11-18 15:30,"KPN Borg, Stationsplein 7, 9726 AE Groningen, The Netherlands","Provides an introduction to Python and Django, more info: <a href=""https://djangogirls.org/groningen/"">https://djangogirls.org/groningen/</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python Meeting Düsseldorf,2022-01-19 17:00,2022-01-19 19:00,"Düsseldorf, Germany","<a href=""https://www.pyddf.de/"">Python Meeting Düsseldorf</a>...",2025-06-02 01:40:23 UTC
User Group Events,Python User Group Hannover,2013-06-05 18:00,2013-06-05 20:00,"Gruppo Ricambi Bielstein OHG, Im Kichenfelde 6, 31157 Sarstedt, Germany","<a href=""http://www.python-hannover.de/"">Python User Group Hannover</a>...",2025-06-02 01:40:23 UTC
User Group Events,"IndyPy - Developer Tools: Code Faster, Work Smarter",2025-04-15 23:00,2025-04-16 01:00,"8415 Allison Pointe Blvd suite 110, Indianapolis, IN 46250, USA","<a href=""https://www.meetup.com/indypy/events/305147717/"">IndyPy - Developer Tools: Code Faster, Work Smarter</a>...",2025-06-02 01:40:23 UTC
User Group Events,Inland Empire Python Users Group monthly meeting,2018-09-18 19:00,2018-09-18 21:00,"Riverside, CA, USA","<a href=""https://www.meetup.com/iepython"">Inland Empire Python Users Group monthly meeting</a>...",2025-06-02 01:40:23 UTC
User Group Events,Django Girls Ho,2024-02-24 00:00,2024-02-25 00:00,"Ho, Volta Region, Ghana","<a href=""https://djangogirls.org/en/ho/"">Django Girls Ho</a>...",2025-06-02 01:40:23 UTC
